City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Fuling,29.7022,107.3919,15.24,59,70,1.17,CN,1614872940
Macusani,-14.0833,-70.4333,8.69,61,84,3.87,PE,1614872941
Bay Point,38.0291,-121.9616,7.78,87,1,1.34,US,1614872941
Acapulco de Juárez,16.8634,-99.8901,26.0,65,40,2.06,MX,1614872691
Kuvandyk,51.4781,57.3552,-6.76,96,100,8.29,RU,1614872941
Shetpe,44.1667,52.1167,0.12,92,23,4.3,KZ,1614872942
Tiznit Province,29.5833,-9.5,17.81,54,5,5.1,MA,1614872904
Husavik,66.0449,-17.3389,6.0,65,40,5.14,IS,1614872942
Itarema,-2.9248,-39.9167,29.76,64,73,6.79,BR,1614872942
Nchelenge,-9.3451,28.734,23.17,80,100,1.29,ZM,1614872943
Umm Kaddadah,13.6017,26.6876,26.54,15,0,7.85,SD,1614872943
Fort Nelson,58.8053,-122.7002,-16.0,78,90,3.09,CA,1614872705
Tilichiki,60.4667,166.1,-24.04,86,100,8.11,RU,1614872943
Knysna,-34.0363,23.0471,18.0,94,90,6.69,ZA,1614872944
Xinpu,34.5997,119.1594,7.78,83,84,2.1,CN,1614872944
Udachny,66.4167,112.4,-35.45,77,13,1.76,RU,1614872944
Egvekinot,66.3167,-179.1667,-18.81,95,100,10.57,RU,1614872944
Chake Chake,-5.2459,39.7666,27.13,70,40,6.05,TZ,1614872945
Bet Shemesh,31.7496,34.9888,13.89,100,69,3.76,IL,1614872945
Ancud,-41.8697,-73.8203,22.78,60,0,3.09,CL,1614872945
Zonguldak,41.25,31.8333,3.21,83,0,0.43,TR,1614872945
Saint-Joseph,-21.3667,55.6167,27.0,74,75,1.03,RE,1614872946
Riyadh,24.6877,46.7219,31.0,14,0,5.66,SA,1614872811
Taltal,-25.4,-70.4833,22.7,72,15,3.6,CL,1614872946
Varhaug,58.6147,5.6457,5.0,45,0,7.2,NO,1614872946
Petrovsk-Zabaykal'skiy,51.273,108.843,-25.47,87,0,1.08,RU,1614872946
Lábrea,-7.2586,-64.7981,27.46,86,90,1.3,BR,1614872946
Adeje,28.1227,-16.726,21.11,56,20,6.69,ES,1614872946
Cabo San Lucas,22.8909,-109.9124,23.0,28,20,2.97,MX,1614872947
Lucapa,-8.4192,20.7447,26.0,79,21,0.76,AO,1614872947
Yamada,39.4667,141.95,5.96,91,100,4.37,JP,1614872947
Shimoda,34.6667,138.95,11.0,71,75,1.54,JP,1614872947
Palmer,42.1584,-72.3287,4.0,41,40,7.72,US,1614872947
Chifeng,42.2683,118.9636,3.21,71,53,4.58,CN,1614872947
Khandyga,62.6667,135.6,-35.32,83,100,1.58,RU,1614872948
São João da Barra,-21.6403,-41.0511,32.0,48,40,3.09,BR,1614872948
Nyurba,63.2842,118.3319,-32.38,83,2,3.17,RU,1614872948
Albion,42.2431,-84.753,-1.11,64,90,3.6,US,1614872948
Taldom,56.7333,37.5333,-4.99,97,93,2.02,RU,1614872949
Bereda,43.2686,-7.5406,17.22,69,100,1.34,ES,1614872949
Manado,1.487,124.8455,24.0,100,40,2.06,ID,1614872949
Outjo,-20.1167,16.15,29.49,23,11,2.66,NA,1614872949
Esim,4.8699,-2.2405,29.24,74,36,5.34,GH,1614872950
Sivaki,52.6333,126.75,-25.98,73,2,6.57,RU,1614872950
Capim Grosso,-11.3811,-40.0128,32.26,36,39,4.35,BR,1614872833
Oktyabr'skiy,54.4815,53.471,-1.94,97,100,8.4,RU,1614872950
Port Hedland,-20.3167,118.5667,26.0,83,0,3.6,AU,1614872950
San Andrés,12.5847,-81.7006,27.0,74,40,2.06,CO,1614872945
Myitkyina,25.3833,97.4,20.04,47,29,1.03,MM,1614872951
Noyabrsk,63.1994,75.4507,-8.76,97,100,5.8,RU,1614872951
Micheweni,-4.9667,39.8333,27.53,72,56,6.69,TZ,1614872951
Kommunisticheskiy,61.6789,64.4819,-10.73,97,84,2.4,RU,1614872952
Sungai Penuh,-2.0833,101.3833,19.29,92,100,1.25,ID,1614872952
Agadez,19.75,10.25,30.32,11,0,3.88,NE,1614872952
Tsiroanomandidy,-18.7667,46.0333,20.62,93,100,2.9,MG,1614872952
Coquimbo,-29.9533,-71.3436,17.0,88,90,2.57,CL,1614872953
Lyngseidet,69.5763,20.2189,-4.0,80,90,6.69,NO,1614872953
Kuching,1.55,110.3333,23.0,100,40,1.03,MY,1614872953
Florenville,49.6998,5.3074,7.22,95,97,3.48,BE,1614872953
Trat,12.5,102.5,28.33,99,3,0.13,TH,1614872953
Pandan,14.0453,124.1694,25.62,82,33,3.99,PH,1614872953
Naze,28.3667,129.4833,17.57,87,96,7.41,JP,1614872953
Bullhead City,35.1478,-114.5683,10.0,71,1,1.03,US,1614872954
Moyamba,8.1667,-12.4333,32.68,53,69,2.31,SL,1614872954
Corinth,37.9407,22.9573,16.67,43,0,0.45,GR,1614872954
Oxbow,49.2333,-102.1676,-2.78,96,81,0.89,CA,1614872955
Tāybād,34.74,60.7756,9.95,49,0,10.35,IR,1614872955
Codrington,-38.2667,141.9667,14.52,73,92,5.25,AU,1614872955
Lobito,-12.3481,13.5456,27.33,75,50,3.03,AO,1614872955
Fort-Shevchenko,44.5086,50.263,0.49,91,0,3.27,KZ,1614872955
Malumfashi,11.7853,7.6218,34.56,10,2,5.56,NG,1614872955
Tres Palos,18.1833,-101.6167,26.0,73,1,1.1,MX,1614872956
Buraidah,26.326,43.975,28.0,51,0,5.14,SA,1614872956
Betioky,-23.7167,44.3833,24.69,80,78,2.38,MG,1614872956
Buchanan,5.8808,-10.0467,32.0,66,75,3.6,LR,1614872956
Ust'-Omchug,61.15,149.6333,-34.85,80,89,0.97,RU,1614872957
Yalvaç,38.2956,31.1778,4.73,53,0,0.86,TR,1614872957
Adrar,20.5022,-10.0711,31.2,6,100,4.38,MR,1614872957
Sakakah,29.9697,40.2064,16.0,31,40,11.32,SA,1614872957
Bossangoa,6.4926,17.4552,38.1,9,11,2.23,CF,1614872957
Calama,-22.4667,-68.9333,20.0,45,0,5.14,CL,1614872869
Thinadhoo,0.5333,72.9333,28.65,65,1,4.34,MV,1614872957
Belyy Yar,53.6039,91.3903,-8.0,67,85,1.0,RU,1614872958
Clarence Town,-32.5833,151.7833,18.89,94,1,3.6,AU,1614872958
Hualmay,-11.0964,-77.6139,25.56,62,73,3.45,PE,1614872958
Tallahassee,30.4383,-84.2807,18.89,58,1,3.09,US,1614872786
Sept-Îles,50.2001,-66.3821,-8.89,62,90,7.2,CA,1614872701
Río Gallegos,-51.6226,-69.2181,16.0,44,0,1.54,AR,1614872959
Pio XII,-3.8325,-45.1525,29.26,79,42,1.79,BR,1614872959
Mayo,38.8876,-76.5119,10.0,43,1,5.14,US,1614872851
Comodoro Rivadavia,-45.8667,-67.5,15.0,94,75,3.09,AR,1614872959
Belle Fourche,44.6714,-103.8522,9.44,42,1,1.48,US,1614872960
Abū Zabad,12.35,29.25,29.19,13,6,5.93,SD,1614872960
Arrondissement de Morlaix,48.5833,-4.0,10.56,81,90,3.6,FR,1614872960
Rzeszów,50.0413,21.999,10.0,61,0,4.12,PL,1614872960
Huarmey,-10.0681,-78.1522,25.21,64,44,3.46,PE,1614872961
Kilcullen,53.1303,-6.7444,5.56,70,90,4.63,IE,1614872961
Rabak,13.1809,32.74,31.8,9,0,5.21,SD,1614872961
Dzaoudzi,-12.7887,45.2699,29.0,74,75,5.14,YT,1614872961
Mopipi,-21.1833,24.8833,28.87,35,85,3.64,BW,1614872961
Meadow Lake,34.8014,-106.5436,11.11,39,1,5.14,US,1614872961
Kehychivka,49.2866,35.7615,6.09,73,13,7.13,UA,1614872962
Somerset,40.5668,-74.5496,6.11,42,20,6.69,US,1614872962
Vestmannaeyjar,63.4427,-20.2734,6.0,75,75,3.09,IS,1614872962
Vrangel',42.7297,133.0839,0.97,92,9,0.81,RU,1614872828
Sur,22.5667,59.5289,24.9,49,0,0.34,OM,1614872962
Nemuro,43.3236,145.575,2.6,84,100,11.53,JP,1614872962
Flinders,-34.5833,150.8552,18.33,85,21,1.34,AU,1614872963
Shalya,57.2471,58.7298,-8.19,96,99,4.33,RU,1614872963
Solnechnyy,50.7214,136.6319,-13.44,93,69,2.76,RU,1614872963
Port Hardy,50.6996,-127.4199,8.0,81,75,6.17,CA,1614872705
Paraná,-31.732,-60.5238,31.74,43,99,4.3,AR,1614872963
Denizli Province,37.8402,29.0698,13.0,22,0,1.54,TR,1614872783
Richards Bay,-28.783,32.0377,24.21,72,0,2.85,ZA,1614872964
Tuatapere,-46.1333,167.6833,14.44,57,90,4.47,NZ,1614872964
Staritsa,56.5075,34.9354,-3.31,94,80,2.48,RU,1614872965
Rapid Valley,44.0625,-103.1463,8.89,60,1,1.54,US,1614872965
Muros,42.7762,-9.0603,18.33,63,0,3.6,ES,1614872965
Palmerston,-12.486,130.9833,26.0,89,100,4.12,AU,1614872965
Shelburne,44.0787,-80.2041,-7.22,83,89,6.59,CA,1614872714
Chongqing,29.5628,106.5528,15.0,62,0,2.0,CN,1614872733
Kozel'sk,54.0375,35.7716,0.0,93,90,3.0,RU,1614872965
Krasne,49.9145,24.6134,8.0,66,0,4.0,UA,1614872965
Pirovskoye,57.6267,92.2658,-6.95,95,100,4.47,RU,1614872966
Pyapon,16.2833,95.6833,24.01,60,0,3.65,MM,1614872848
Kaniama,-7.5667,24.1833,25.16,80,41,0.24,CD,1614872966
Kismayo,-0.3582,42.5454,26.28,80,90,7.29,SO,1614872966
Puyang,29.4603,119.8861,11.67,41,6,0.63,CN,1614872966
Saint Anthony,45.0205,-93.218,2.22,60,1,3.09,US,1614872967
George Town,5.4112,100.3354,29.0,89,20,0.51,MY,1614872967
Santiago del Estero,-27.7951,-64.2615,31.8,38,0,3.3,AR,1614872839
Blackfoot,43.1905,-112.345,0.0,47,52,0.45,US,1614872707
Naryan-Mar,67.6713,53.087,-18.78,93,97,4.2,RU,1614872967
Ranong,9.9658,98.6348,25.51,86,5,3.42,TH,1614872967
Shirokiy,49.758,129.523,-16.95,88,100,7.2,RU,1614872967
Port Shepstone,-30.7414,30.455,24.67,82,38,5.97,ZA,1614872967
Pekan,3.4836,103.3996,26.0,89,20,1.54,MY,1614872968
Kavieng,-2.5744,150.7967,28.16,77,100,5.02,PG,1614872968
Lubango,-14.9172,13.4925,23.92,46,68,2.39,AO,1614872968
Abhā,18.2164,42.5053,20.0,55,20,5.14,SA,1614872763
Sibolga,1.7427,98.7792,25.84,84,39,1.6,ID,1614872969
Belmonte,-15.8631,-38.8828,30.0,62,20,5.66,BR,1614872969
Amga,60.8953,131.9608,-31.81,84,100,1.96,RU,1614872969
Hebi,35.8992,114.1925,13.35,64,100,3.74,CN,1614872969
Lichinga,-13.3128,35.2406,21.0,83,75,4.12,MZ,1614872970
Gemena,3.25,19.7667,38.72,13,0,1.78,CD,1614872970
Yerbogachën,61.2767,108.0108,-31.17,85,21,2.58,RU,1614872970
Nizhniy Tsasuchey,50.5167,115.1333,-22.92,84,57,2.26,RU,1614872970
Ciudad Bolivar,8.1222,-63.5497,30.38,53,96,3.32,VE,1614872971
Dwārka,22.2394,68.9678,25.04,72,0,5.36,IN,1614872971
Portland,45.5234,-122.6762,5.0,87,75,4.12,US,1614872835
Penzance,50.1186,-5.5371,7.0,93,75,3.09,GB,1614872971
Dauriya,49.9333,116.8667,-25.02,81,1,1.89,RU,1614872971
Ishigaki,24.3448,124.1572,22.18,79,80,2.14,JP,1614872971
Mehamn,71.0357,27.8492,-3.0,86,75,6.69,NO,1614872972
Andra,62.5147,65.8878,-9.71,97,97,2.67,RU,1614872972
Gamba,-2.65,10.0,27.77,83,99,4.35,GA,1614872972
Jieshi,22.8134,115.8257,17.78,91,57,3.57,CN,1614872972
Muli,2.9167,73.5667,28.46,68,54,5.92,MV,1614872972
Sapa,5.1544,120.3241,26.95,80,1,3.16,PH,1614872972
Nador,35.174,-2.9287,17.0,82,40,4.12,MA,1614872973
Aleksandrov Gay,50.147,48.5704,-0.22,91,29,7.64,RU,1614872973
Tura,25.5198,90.2201,19.31,25,0,1.21,IN,1614872973
Bireun,5.203,96.7009,26.83,79,60,3.14,ID,1614872973
Tongchuanshi,35.0806,109.0897,10.83,48,99,1.58,CN,1614872973
Joshīmath,30.5667,79.5667,7.94,47,59,2.18,IN,1614872974
Vestmanna,62.1564,-7.1664,2.0,69,29,4.63,FO,1614872974
Marsabit,2.3284,37.9899,24.2,51,98,5.3,KE,1614872974
Kollo,13.3043,2.339,39.0,5,0,5.14,NE,1614872974
Mangan,27.5167,88.5333,13.9,40,80,2.35,IN,1614872975
Rājpīpla,21.8667,73.5,29.0,37,0,2.06,IN,1614872975
Kenora,49.8167,-94.4337,-2.0,54,75,2.57,CA,1614872975
Bethel,41.3712,-73.414,3.33,52,90,3.09,US,1614872975
Ulundi,-28.3352,31.4162,23.78,75,0,2.36,ZA,1614872975
Qui Nhon,13.7667,109.2333,23.6,88,15,1.02,VN,1614872724
Diapaga,12.0708,1.7889,39.48,8,0,3.89,BF,1614872976
Moose Factory,51.2585,-80.6094,-20.0,65,1,3.6,CA,1614872976
Karratha,-20.7377,116.8463,26.68,68,0,6.21,AU,1614872976
Khani,41.9563,42.9566,7.0,57,0,2.06,GE,1614872977
